str_no_string|NO STRING!
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.
str_hero_taken_prisoner|{s1} of {s3} has been taken prisoner by {s2}.
str_hero_freed|{s1} of {s3} has been freed from captivity by {s2}.
str_center_captured|{s2} have taken {s1} from {s3}.
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_faction_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_faction_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Your party gains {reg1} morale.
str_party_lost_morale|Your party loses {reg1} morale.
str_other_party_gained_morale|{s1} gains {reg1} morale.
str_other_party_lost_morale|{s1} loses {reg1} morale.
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!
str_father|father
str_husband|husband
str_wife|wife
str_daughter|daughter
str_mother|mother
str_son|son
str_brother|brother
str_sister|sister
str_he|He
str_she|She
str_s3s_s2|{s3}'s {s2}
str_s5_is_s51|{s5} is {s51}.
str_s5_is_the_ruler_of_s51|{s5} is the ruler of {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of {s6}. 
str_relation_mnus_100|Vengeful
str_relation_mnus_90|Vengeful
str_relation_mnus_80|Vengeful
str_relation_mnus_70|Hateful
str_relation_mnus_60|Hateful
str_relation_mnus_50| Hostile
str_relation_mnus_40|  Angry
str_relation_mnus_30|    Resentful
str_relation_mnus_20|      Grumbling
str_relation_mnus_10|        Suspicious
str_relation_plus_0|         Indifferent
str_relation_plus_10|          Cooperative
str_relation_plus_20|           Welcoming
str_relation_plus_30|            Favorable
str_relation_plus_40|             Supportive
str_relation_plus_50|              Friendly
str_relation_plus_60|               Gracious
str_relation_plus_70|                 Fond
str_relation_plus_80|                  Loyal
str_relation_plus_90|                   Devoted
str_relation_mnus_100_ns|{s60} is vengeful towards you.
str_relation_mnus_90_ns|{s60} is vengeful towards you.
str_relation_mnus_80_ns|{s60} is vengeful towards you.
str_relation_mnus_70_ns|{s60} is hateful towards you.
str_relation_mnus_60_ns|{s60} is hateful towards you.
str_relation_mnus_50_ns|{s60} is hostile towards you.
str_relation_mnus_40_ns|{s60} is angry towards you.
str_relation_mnus_30_ns|{s60} is resentful against you.
str_relation_mnus_20_ns|{s60} is grumbling against you.
str_relation_mnus_10_ns|{s60} is suspicious towards you.
str_relation_plus_0_ns|{s60} is indifferent against you.
str_relation_plus_10_ns|{s60} is cooperative towards you.
str_relation_plus_20_ns|{s60} is welcoming towards you.
str_relation_plus_30_ns|{s60} is favorable to you.
str_relation_plus_40_ns|{s60} is supportive to you.
str_relation_plus_50_ns|{s60} is friendly to you.
str_relation_plus_60_ns|{s60} is gracious to you.
str_relation_plus_70_ns|{s60} is fond of you.
str_relation_plus_80_ns|{s60} is loyal to you.
str_relation_plus_90_ns|{s60} is devoted to you.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|The populace hates you with a passion
str_center_relation_mnus_90|The populace hates you intensely
str_center_relation_mnus_80|The populace hates you strongly
str_center_relation_mnus_70|The populace hates you
str_center_relation_mnus_60|The populace is hateful to you
str_center_relation_mnus_50|The populace is extremely hostile to you
str_center_relation_mnus_40|The populace is very hostile to you
str_center_relation_mnus_30|The populace is hostile to you
str_center_relation_mnus_20|The populace is against you
str_center_relation_mnus_10|The populace is opposed to you
str_center_relation_plus_0|The populace is indifferent to you
str_center_relation_plus_10|The populace is acceptive to you
str_center_relation_plus_20|The populace is cooperative to you
str_center_relation_plus_30|The populace is somewhat supportive to you
str_center_relation_plus_40|The populace is supportive to you
str_center_relation_plus_50|The populace is very supportive to you
str_center_relation_plus_60|The populace is loyal to you
str_center_relation_plus_70|The populace is highly loyal to you
str_center_relation_plus_80|The populace is devoted to you
str_center_relation_plus_90|The populace is fiercely devoted to you
str_town_prosperity_0|The poverty of the town of {s60} is unbearable
str_town_prosperity_10|The squalorous town of {s60} is all but deserted.
str_town_prosperity_20|The town of {s60} looks a wretched, desolate place.
str_town_prosperity_30|The town of {s60} looks poor and neglected.
str_town_prosperity_40|The town of {s60} appears to be struggling.
str_town_prosperity_50|The town of {s60} seems unremarkable.
str_town_prosperity_60|The town of {s60} seems to be flourishing.
str_town_prosperity_70|The prosperous town of {s60} is bustling with activity.
str_town_prosperity_80|The town of {s60} looks rich and well-maintained.
str_town_prosperity_90|The town of {s60} is opulent and crowded with well-to-do people.
str_town_prosperity_100|The glittering town of {s60} openly flaunts its great wealth.
str_village_prosperity_0|The poverty of the village of {s60} is unbearable.
str_village_prosperity_10|The village of {s60} looks wretchedly poor and miserable.
str_village_prosperity_20|The village of {s60} looks very poor and desolate.
str_village_prosperity_30|The village of {s60} looks poor and neglected.
str_village_prosperity_40|The village of {s60} appears to be somewhat poor and struggling.
str_village_prosperity_50|The village of {s60} seems unremarkable.
str_village_prosperity_60|The village of {s60} seems to be flourishing.
str_village_prosperity_70|The village of {s60} appears to be thriving.
str_village_prosperity_80|The village of {s60} looks rich and well-maintained.
str_village_prosperity_90|The village of {s60} looks very rich and prosperous.
str_village_prosperity_100|The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
str_town_alt_prosperity_0|Those few items sold in the market appear to be priced well out of the range of the inhabitants. The people are malnourished, their animals are sick or dying, and the tools of their trade appear to be broken. The back alleys have been abandoned to flies and mangy dogs.
str_town_alt_prosperity_20|You hear grumbling in the marketplace about the price of everyday items and the shops are half empty. You see the signs of malnourishment on both people and animals, and both buildings and tools suffer from lack of repair. Many may already have migrated to seek work elsewhere.
str_town_alt_prosperity_40|You hear the occasional grumble in the marketplace about the price of everyday items, but there appear to be a reasonable amount of goods for sale. You see the occasional abandoned building, shop, or cart, but nothing more than the ordinary.
str_town_alt_prosperity_60|The people look well-fed and relatively content. Craftsmen do a thriving business, and some migrants appear to be coming here from other regions to seek their luck.
str_town_alt_prosperity_80|The walls, streets, and homes are well-maintained. The markets are thronged with migrants from the nearby regions drawn here by the availability of both goods and work. The rhythm of hammers and looms speak to the business of the artisans' workshops.
str_village_alt_prosperity_0|Only a handful of people are strong enough to work in the fields, many of which are becoming overgrown with weeds. The rest are weak and malnourished, or have already fled elsewhere. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones knawed by wild beasts.
str_village_alt_prosperity_20|Some farmers and animals are out in the fields, but their small numbers suggest that some villagers may be emigrating in search of food. Farm implements look rusty and broken. Brush and weeds seem to be reclaiming some of the outermost fields.
str_village_alt_prosperity_40|The fields and orchards are busy, with villagers engaged in the tasks of the seasons. Humans and animals alike look relatively healthy and well-fed. However, a small number of the outermost fields are left unsewn, and some walls are in ill repair, suggesting that there are still not quite enough hands to do all the work which needs to be done.
str_village_alt_prosperity_60|The fields and orchards are humming with activity, with filled sacks of grain and drying meat testifying to the productivity of the village's cropland and pastureland.
str_village_alt_prosperity_80|The fields and orchards are humming with activity, with freshly dug irrigation ditches suggest that the farmers have enough spare time and energy to expand area under cultivation. Seasonal laborers appear to be flocking here to help with the work and join in the general prosperity.
str_oasis_village_alt_prosperity_0|The palm groves are virtually abandoned, and the canals which irrigate them are clogged with silt. The handful of villagers you see look malnourished and restless. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones knawed by the wild jackals of the desert.
str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the palm groves, and in places, the desert dunes appear to be encroaching on the gardens. Many of the canals are clogged with silt, and the wells and cisterns are filled with sand.
str_oasis_village_alt_prosperity_40|Men and women are busy tending the palm groves, climbing to the tops of trees to pollinate the fruit. Healthy animals draw the pumps and wheels that bring water to the fields. Some of the irrigation canals and cisterns, however, could use some maintenance.
str_oasis_village_alt_prosperity_60|The palm groves and orchards are humming with activity. Farmers call to each other cheerfully from the tops of the trees, where they pollinate the date fruit. The creak of wooden pumps, the bellowing of draft animals, and the rush of flowing water speak of an irrigation system that is thriving under the villagers' attention.
str_oasis_village_alt_prosperity_80|The palm groves are humming with activity, as farmers load up a bumper crop of dates for sale to the market. Men and women are hard at work digging new wells and canals, to bring additional land under irrigation.
str_acres_grain|acres of grain fields
str_acres_orchard|acres of orchards and vineyards
str_acres_oasis|acres of irrigated oasis gardens
str_looms|looms
str_boats|boats
str_head_cattle|head of cattle
str_head_sheep|head of sheep
str_mills|mills
str_kilns|kilns
str_pans|pans
str_deposits|deposits
str_hives|hives
str_breweries|breweries
str_presses|presses
str_smithies|smithies
str_caravans|overland caravans
str_traps|traps
str_gardens|small gardens
str_tanneries|tanning vats
str_master_miller|Master miller
str_master_brewer|Master brewer
str_master_presser|Master presser
str_master_smith|Master smith
str_master_tanner|Master tanner
str_master_weaver|Master weaver
str_master_dyer|Master dyer
str_war_report_minus_4|we are about to lose the war
str_war_report_minus_3|the situation looks bleak
str_war_report_minus_2|things aren't going too well for us
str_war_report_minus_1|we can still win the war if we rally
str_war_report_0|we are evenly matched with the enemy
str_war_report_plus_1|we have a fair chance of winning the war
str_war_report_plus_2|things are going quite well
str_war_report_plus_3|we should have no difficulty defeating them
str_war_report_plus_4|we are about to win the war
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmanoeuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you can't seem to bring forth anything concrete that {reg51?she:he} cannot counter with a rational point. In the end, neither of you manage to gain any ground in this discussion.
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about your request.
str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.
str_secret_sign_1|The armoire dances at midnight...
str_secret_sign_2|I am selling these fine Khergit tapestries. Would you like to buy some?
str_secret_sign_3|The friend of a friend sent me...
str_secret_sign_4|The wind blows hard from the east and the river runs red...
str_countersign_1|But does he dance for the dresser or the candlestick?
str_countersign_2|Yes I would, do you have any in blue?
str_countersign_3|But, my friend, your friend's friend will never have a friend like me.
str_countersign_4|Have you been sick?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} of Uxhal
str_surname_2|{s50} of Wercheg
str_surname_3|{s50} of Reyvadin
str_surname_4|{s50} of Suno
str_surname_5|{s50} of Jelkala
str_surname_6|{s50} of Veluca
str_surname_7|{s50} of Halmar
str_surname_8|{s50} of Curaw
str_surname_9|{s50} of Sargoth
str_surname_10|{s50} of Tihr
str_surname_11|{s50} of Zendar
str_surname_12|{s50} of Rivacheg
str_surname_13|{s50} of Wercheg
str_surname_14|{s50} of Ehlerdag
str_surname_15|{s50} of Yaragar
str_surname_16|{s50} of Burglen
str_surname_17|{s50} of Shapeshte
str_surname_18|{s50} of Hanun
str_surname_19|{s50} of Saren
str_surname_20|{s50} of Tosdhar
str_surname_21|{s50} the Long
str_surname_22|{s50} the Gaunt
str_surname_23|{s50} Silkybeard
str_surname_24|{s50} the Sparrow
str_surname_25|{s50} the Pauper
str_surname_26|{s50} the Scarred
str_surname_27|{s50} the Fair
str_surname_28|{s50} the Grim
str_surname_29|{s50} the Red
str_surname_30|{s50} the Black
str_surname_31|{s50} the Tall
str_surname_32|{s50} Star-Eyed
str_surname_33|{s50} the Fearless
str_surname_34|{s50} the Valorous
str_surname_35|{s50} the Cunning
str_surname_36|{s50} the Coward
str_surname_37|{s50} Bright
str_surname_38|{s50} the Quick
str_surname_39|{s50} the Minstrel
str_surname_40|{s50} the Bold
str_surname_41|{s50} Hot-Head
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}
str_retreat|Retreat!
str_siege_continues|Fighting Continues...
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}
str_casualty_display_hp|^You were wounded for {reg1} hit points.
str_quest_log_updated|Quest log has been updated...
str_banner_selection_text|You have been awarded the right to carry a banner. Your banner will signify your status and bring you honour. Which banner do you want to choose?
str_retirement_text_1|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you fare poorly in several desperate attempts to start adventuring again. You end up a beggar in {s9}, living on alms and the charity of the church.
str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every crown has evaporated in your hands you are forced to start a life of crime in the backstreets of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.
str_retirement_text_3|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you end up a penniless drifter, going from tavern to tavern bumming drinks from indulgent patrons by regaling them with war stories that no one ever believes.
str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {wives/husbands}. In time the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you for ever and ever.
str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time your growing tavern becomes a popular feast hall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allow you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {man/woman} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|As a landed noble, however minor, your future is all but assured. You settle in your holdfast at {s7}, administrating the village and fields, adjudicating the local courts and fulfilling your obligations to your liege lord. Occasionally your liege calls you to muster and command in his campaigns, but these stints are brief, and you never truly return to the adventuring of your younger days. You have already made your fortune. With your own hall and holdings, you've few wants that your personal wealth and the income of your lands cannot afford you.
str_retirement_text_8|There is no question that you've done very well for yourself. Your extensive holdings and adventuring wealth are enough to guarantee you a rich and easy life for the rest of your days. Retiring to your noble seat in {s8}, you exchange adventure for politics, and you soon establish yourself as a considerable power in your liege lord's kingdom. With intrigue to busy yourself with, your own forests to hunt, a hall to feast in and a hundred fine war stories to tell, you have little trouble making the best of the years that follow.
str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investiture as baron of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {count/countess} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal and charged with much of the running of his realm, and you sit a throne in your own magnificent palace as one of the most powerful figures in Europe.
str_loot_village|attack innocent villagers
str_steal_from_villagers|steal from poor villagers
str_rob_caravan|rob a merchant caravan
str_sell_slavery|sell people into slavery
str_men_hungry|run out of food
str_men_unpaid|not be able to pay the men
str_excessive_casualties|turn every battle into a bloodbath for our side
str_surrender|surrender to the enemy
str_flee_battle|run from battle
str_pay_bandits|pay off common bandits
str_fail_quest|fail a quest which we undertook on word of honour
str_squander_money|squander money given to us in trust
str_murder_merchant|involve ourselves in cold-blooded murder
str_round_up_serfs|round up serfs on behalf of some noble
str_battle_fate_1|We were separated in the heat of battle
str_battle_fate_2|I was wounded and left for dead
str_battle_fate_3|I was knocked senseless by the enemy
str_battle_fate_4|I was taken and held for ransom
str_battle_fate_5|I got captured, but later managed to escape
str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs
str_happy|happy about
str_content|content with
str_concerned|concerned about
str_not_happy|not at all happy about
str_miserable|downright appalled at
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Enthusiastic
str_bar_content|              Content
str_bar_weary|          Weary
str_bar_disgruntled|     Disgruntled
str_bar_miserable|  Miserable
str_here_plus_space|here 
str_npc1_intro|Yes, what can I do for you? May you do this right now.
str_npc2_intro|Greetings, do you have sympathy for a humble squire?
str_npc3_intro|Good day, traveler!
str_npc4_intro|Good day {Messire/Madame}, what is your relationship to this war?
str_npc5_intro|Hello {Messire/Madame}, are you a captain of a troop?
str_npc6_intro|Greetings, are you the captain of a group of mercenaries?
str_npc7_intro|To your health, traveler, let the Hunt be good.
str_npc8_intro|What do you want?
str_npc9_intro|Yes? What can I do for you?
str_npc10_intro|Greetings fellow traveler, would you like to have a drink with me?
str_npc11_intro|Hello {sire/young lady}, have a beer with me.
str_npc12_intro|You seem to have a very bad injury, traveller. I am a doctor, and it looks to me that it can get infected.
str_npc13_intro|What are you looking at, did you lose something?
str_npc14_intro|Hey, look who's here. What's new, friend? By the way, have you gone... you know or...?
str_npc15_intro|Greetings, are not you by chance the leader of this mercenary company I saw entering the city?
str_npc16_intro|{Sire/Madame}, if I may... Are you far from your {wife/husband}? Do you need my help?
str_npc1_intro_response_1|What does a nobleman do in a tavern? Moreover, you do not seem to be at ease.
str_npc2_intro_response_1|Have you lost your way? What happened to you, squire?
str_npc3_intro_response_1|Hello, are you a mercenary?
str_npc4_intro_response_1|I would like to know your own first.
str_npc5_intro_response_1|Perhaps. Why?
str_npc6_intro_response_1|Indeed, are you interested?
str_npc7_intro_response_1|What Hunt are you talking about?
str_npc8_intro_response_1|Just talk, if you don't mind.
str_npc9_intro_response_1|Too nice a uniform to wear in a tavern.
str_npc10_intro_response_1|Why not, in honour of what?
str_npc11_intro_response_1|In honour of what?
str_npc12_intro_response_1|Thank you, what should I do?
str_npc13_intro_response_1|Relax, friend, I'm looking to recruit mercenaries that's all. Let me buy you a drink?
str_npc14_intro_response_1|Yes I have been, your cause interests me.
str_npc15_intro_response_1|Indeed, why do you ask?
str_npc16_intro_response_1|You speak well for a convoy runner, or are you educated?
str_npc1_intro_response_2|Talking to you was engaging, but I'm in a hurry. Farewell.
str_npc2_intro_response_2|I have better things to do than get drunk in a brothel.
str_npc3_intro_response_2|I do not have the time to discuss this.
str_npc4_intro_response_2|That's a very indiscreet question, farewell.
str_npc5_intro_response_2|Go your own way.
str_npc6_intro_response_2|It is none of your business, sir.
str_npc7_intro_response_2|No time to drink. Farewell.
str_npc8_intro_response_2|From you? Absolutely nothing, farewell.
str_npc9_intro_response_2|I thought I recognized someone. Farewell.
str_npc10_intro_response_2|There are other things to do than waste time in a tavern. Goodbye.
str_npc11_intro_response_2|No thank you. Goodbye.
str_npc12_intro_response_2|We all end up dead anyways. Farewell.
str_npc13_intro_response_2|Find someone else to fight you, drunkard.
str_npc14_intro_response_2|No I have not, nor does war elsewhere interest me.
str_npc15_intro_response_2|It's none of your business, farewell.
str_npc16_intro_response_2|No, I do not need a whore.
str_npc1_backstory_a|I see, my name is Perceval of Blois, I am a former guard captain and I am at the tavern to recruit men in order to set up a small company of mercenaries.
str_npc2_backstory_a|This is a tragic tale, but I'm happy that someone wants to hear it.
str_npc3_backstory_a|Mercenary? No, much better than that, I'm a sergeant-at-arms, at least I was, I just got relieved from duty.
str_npc4_backstory_a|Well {sire/madame}, for me it is a disaster. I lost everything because of this war. I had a beautiful farm in which I was producing quality milk and good butter, I was also in poultry. Moreover, the land was so good that it allowed me to grow grains of excellent quality. But my pride and joy were my horses, the best in the area, from a beautiful lineage.
str_npc5_backstory_a|That's what it seemed to me. Looking at you, I would say that you are both enterprising and ambitious.
str_npc6_backstory_a|I happen to be a mercenary and I am looking for a company. I know how to wield the sword well and I am quite fast.
str_npc7_backstory_a|I am a hunter, and although it has led me to a dungeon by having hunted in the lands of the nobles, I will not cease this activity. Do you know a forest that does not belong to a noble? It is a shame, as if it were the nobles who had made the trees grow.
str_npc8_backstory_a|I advise you not to mess with me or you will not have time to regret. I've been a hangman for a long time, and ironically, an outlaw. All that to warn you that lopping of heads comes easy to me.
str_npc9_backstory_a|Although I have not completed my classes, I am gone to war, my {lord/lady}.
str_npc10_backstory_a|I am currently looking for employment. Have a drink and I'll tell you everything there is to know.
str_npc11_backstory_a|Do you need an excuse to drink? The trip was long and I'm thirsty, that's all.
str_npc12_backstory_a|I am a traveling doctor and a good Christian, in these incessant times of war I am working to save as much life as I can.
str_npc13_backstory_a|How can I refuse? So you're looking for men who know how to fight?
str_npc14_backstory_a|Great friend, know that we are always looking for dedicated fighters. There are still a handful of empty bellies, but soon, we will have an army.
str_npc15_backstory_a|I am an engineer, I study siege engines, and I am desperately looking for an employer. Have you ever seen a bombard shoot up close? I bet not.
str_npc16_backstory_a|You see, my {lord/lady}, I have never been in need since I was young, I know how to wield my tongue as a weapon in many cases.
str_npc1_backstory_b|Or even join a company already formed so naturally I hold a key position.
str_npc2_backstory_b|I was Lord Graham's squire. Some call my former master the Little Master of Fortune. He carried the arms in the name of King Edward until the day he met one of our King's sons in a tournament in London. His Majesty Prince Lionel has jousted against Lord Graham, but there was a terrible accident. When the prince fell, my Lord's horse tripped, and sent my lord directly to the prince's spear, killing him instantly.
str_npc3_backstory_b|An unfortunate affair, believe me, I was assigned to the guard of a royal house while he was killed by a crossbow's bolt before my eyes. The shooting came from the thickets while the prince was coming out of the coach. Unfortunately, being the only non-noble person present, I was immediately charged. No matter, they do not know what they are losing.
str_npc4_backstory_b|For my family and me it was a huge work, but we managed to live well, despite the exorbitant taxes. We lived happily ever after with my wife and two teenage children, until this horrible night when everything turned upside down. I'm reliving the scene every moment.
str_npc5_backstory_b|I am Hermance, I am a former soldier turned merchant. Without bragging, I think I have mastered the art of making a profit. I had a stall not so long ago in Bordeaux, my city, but I was removed from it by an English noble. I must tell you at once that I do not have the English in my heart.
str_npc6_backstory_b|You have to wonder why I do not have a company yet, however it turns out that I had one or more that I used to be part of, but now am the only survivor.
str_npc7_backstory_b|However I have more than enough of jails. I look for work as a guide or tracker. The nobles do not want to hire me to hunt with them, but I do not like how they hunt anyways. I know how to handle a bow and track game, I can even follow a small group at a distance.
str_npc8_backstory_b|I must say that I take some pleasure in killing men, one can say that I am an assassin, and for a price, I can kill anyone.
str_npc9_backstory_b|Forgive me we do not know each other, and I'm afraid I do not have too many friends to say this, but I was attached to the host of the Dauphin of France in order to flee for my life. You see, a damsel which I was madly attached broke our future.
str_npc10_backstory_b|I am a master of arms. I have traveled all over France. I have always done a good job. And then I served the Lord of Nevers, who had such contempt for me. His son came to train, and during his first tournament, the lazy pug had his arm broken. It was not my fault, but his father took advantage of the child's misfortune to dismiss me.
