qstr_Breaking_camp...|Breaking camp...
qstr_Le_maitre_de_la_guilde_|The master of the Guild of Messengers gave you a letter to deliver to the guild master of Dijon.
qstr_Le_maitre_de_la_guilde_d|The master of the Guild of Messengers gave you a letter to deliver to the guild master of Caen.
qstr_Le_maitre_de_la_guilde_de|The master of the Guild of Messengers sent you to deliver a book shipment to a merchant in the Sainte Catherine quarter of Bordeaux.
qstr_Le_maitre_de_la_guilde_des|The master of the Guild of Messengers told you to take certain items and give them to an armorer in Paris. 
qstr_Le_maitre_de_la_guilde_des_|The master of the Guild of Messengers wants you to move a shipment to a weaponsmith in Avignon.
qstr_Le_maitre_de_la_guilde_des_M|The master of the Guild of Messengers gave you a box to transport to a weaponsmith in Reims.
qstr_Vous_avez_recu_:_cru|You received : Jug of Beer
qstr_Objet_perdu_:_Potion|Lost and found : Potion for the Master
qstr_Vous_avez_recu_:_Pot|You received : Potion for the Master
qstr_Vous_etes_pardonné_|You are forgiven of your sins by the faction !
qstr_Je_doit_remboursser_|I have to repay 3300 denars before it is due, or I risk big trouble.
qstr_Je_doit_remboursser_l|I have to repay 6600 denars before it is due, or I risk big trouble.
qstr_Je_doit_remboursser_la|I have to repay 9900 denars before it is due, or I risk big trouble.
qstr_Je_doit_remboursser_la_|I have to repay 15400 denars before it is due, or I risk big trouble.
qstr_{playername}_when_w|{playername}, when we started our long walk, few people had the courage to support me. And fewer still would be willing to put their lives at risk for my cause. But you didn't hesitate for a moment in throwing yourself at my enemies. We have gone through a lot together, and there were times I came close to losing all hope. But with God's help, we prevailed. It is now time for me to leave your company and take what's rightfully mine. From now on, I will carry out the great responsibility of ruling {s3}. There still lie many challanges ahead and I count on your help in overcoming those. And of course, you will always remain as my foremost vassal.
qstr_Find_and_speak_with_|Find and speak with {s3} of {s4} to give him your oath of homage.
qstr__We_will_of_course_n| We will of course need to wait until the realm is no longer on campaign.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_{s1}_Rebels|{s1} Rebels
qstr_Le_Duc_de_Bretagne_m|The Duke of Brittany asked me to investigate the dealings of his rival Stephen de Penthièvre. You have to understand how his irregulars could be prevented from continuing to weaken the economy and the power of the Duke of Brittany.
qstr_Le_Duc_de_Bretagne_m_|The Duke of Brittany asked me to investigate the dealings of his rival Etienne de Penthièvre, You have to find out why the production at the Duke's mines has stalled.
qstr_I_am_{s4}_the_ruler|I am {s4}, the ruler of {s6}
qstr_I_am_{s4}_a_vassal_|I am {s4}, a vassal of {s6}
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? and the lord of {s8}.:.
qstr_Jeanne_m_a_demandé_|Joan asked me to find a special sword and bring it back to her. You should search for it at the chapel of St. Catherine of Fierbois, which is located south of Tours.
qstr_La_porte_est_dévero|The door is unlocked.
qstr_Je_doit_aller_voir_l|You have to go see the cup-bearer of the Duke who is at the village inn at the mines near the forest of Lorges to learn more. The inn entrance is defended by a guard, who tells you to kill a suspicious adventurer who keeps asking questions from the miners. The guard offers to let you in if the adventurer is dealt with.
qstr_L_Echanson_du_Duc_pe|The cup-bearer of the Duke thinks he has discovered how the troops of de Penthièvre are moving around the countryside undetected. If this is true you have have fulfilled your mission. Verify his assumption.
qstr_Mon_expedition_est_p|Your posse is ready to go down into the tunnels of the mine. Kill every soldier you meet there and most importantly free the miners.
qstr_L_Echanson_du_Duc_m_|The butler of the Duke told you that a contingent of de Penthièvre troops is holding miners hostage inside a mine. On behalf of the Duke you have to gather volunteers, go in through heavily guarded tunnels, search for survivors and free them to restart production at the mine.
qstr_L_aubergiste_de_l_au|The landlord of the village inn at the mines near the forest of Lorges asked you to lift a blockade at the lake gate to allow goods to reach the village. He will give food in return.
qstr_Un_chasseur_dans_l_a|A hunter at the inn near the forest of Lorges asked me to find a lost arbalest in the woods. Search the forest for an expensive crossbow.
qstr_Le_Capitaine_de_la_c|The captain of the mercenary company Iron Skulls of Brittany sent you to siege the Citadel of Quintin owned by the Count de Penthièvre. We must prevent the Count's troops from leaving. Apparently there is an enormous reward for killing him. You want to see if sneaking up on the Count and his family is possible even if it means disobeying the captain.
qstr_Le_Capitaine_de_la_co|The captain of the mercenary company Iron Skulls of Brittany gave you a contract to monitor the entrance of a Rennes mansion, whose noble Breton owner has received death threats. You have to be his bodyguard to prevent him being killed (go talk to the Count, then the Residents until someone draws weapons).
qstr_Le_Capitaine_de_la_com|The captain of the mercenary company Iron Skulls of Brittany gave you your first contract, intercept bandits who attacked a caravan and killed all the merchants and their escort.
qstr_{s13}_asked_you_to_g|{s13} asked you to gather {reg3} heads of cattle and deliver them back to him.
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, then report back.
qstr_you|you
qstr_You_are_challenging_|You are challenging me to a duel? How droll! As you wish, {playername}, it will be good sport to bash your head in.
qstr_{s16}_and_{s17}|{s16} and {s17}
qstr_Very_well_I_will_ac|Very well, I will accept you back into my ranks, if you're ready to swear your solemn oath once more.
qstr_A_pardon_will_only_b|A pardon will only be possible if you are willing to cede {s17} to me. Do you agree my terms?
qstr_No._There_is_no_chan|No. There is no chance of peace between us, I am not interested.
qstr_Our_marshal_{s1}|Our marshal, {s1}
qstr_{s11}_and_{s12}|{s11} and {s12}
qstr_We_are_not_at_war_wi|We are not at war with anyone.
qstr_We_are_at_war_with_{|We are at war with {s12}.
qstr_go_on_the_offensive_|go on the offensive now.
qstr_act_to_defend_our_la|act to defend our lands.
qstr_take_more_time_to_ga|take more time to gather the army.
qstr_You_promised_to_help|You promised to help {s13} claim the throne of {s14}.
qstr_What_do_you_say_to_e|What do you say to entering the service of {s9} as a mercenary captain? I have no doubt that you would be up to the task.
qstr_{s9}_asked_you_to_ta|{s9} asked you to take a message to {s13}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of {s15}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s11}_asked_you_to_e|{s11} asked you to escort his {s17} {s13} to {s14}.
qstr_{s13}_asked_you_to_d|{s13} asked you to deal with the bandits who are occupying the village of {s15} and then report back to him.
qstr_{s9}_asked_you_to_ra|{s9} asked you to raise {reg1} {s14} and bring them to him.
qstr_{s9}_asked_you_to_co|{s9} asked you to collect taxes from {s3}. He offered to leave you one-fifth of all the money you collect there.
qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be at {s3}.
qstr_{s9}_asked_you_to_as|{s9} asked you to assassinate a local merchant at {s3}.
qstr_{s9}_has_asked_you_t|{s9} has asked you to meet with a spy in {s13}.
qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
qstr_{s11}_asked_you_to_c|{s11} asked you to capture a lord from {s13}, any lord, and then drag your victim back to {s11} for safekeeping.
qstr_{s9}_asked_you_to_le|{s9} asked you to lend your companion {s3} to him for a week.
qstr_{s9}_asked_you_to_col|{s9} asked you to collect the debt of {reg4} denars {s3} owes to him. {s3} was at {s4} when you were given this quest.
qstr_{s11}_gave_you_a_fak|{s11} gave you a fake letter to fool {s13} into banishing his vassal {s16}. You are to go near {s14}, give the letter to one of your {s15} and send him into the town as a messenger, believing his orders to be genuine.
qstr_{s9}_has_requested_y|{s9} has requested you to bring him {reg1} {s3} as prisoners.
qstr_Lend_your_experience|Lend your experienced surgeon {s3} to {s1}.
qstr_Then_take_it_with_m|Then take it, with my eternal thanks. You are a noble {man/woman}. I will never forget that you helped me in my time of need.
qstr_Forgive_me_{playern|Forgive me, {playername}, but I must insist you accept it. The money means little to me, and I owe you so much. Here, take it, and let us speak no more of this.
qstr_{playername}_what_a|{playername}, what a dear {man/woman} you are, but I will not allow you to refuse this. I owe you far more than I can say, and I am sure you can put this money to far better use than I.
qstr_{s11}_asked_you_to_r|{s11} asked you to rescue her {s17}, {s13}, from {s14} by switching clothes and taking his place in prison.
qstr_{s11}_asked_you_to_re|{s11} asked you to rescue her {s17}, {s13}, from {s14}.
qstr_{s11}_asked_you_to_d|{s11} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|You agreed to challenge {s13} to defend {s11}'s honour.
qstr_{s5}__Persuasion_str|{s5} (Persuasion strength: {reg5})
qstr_Persuasion_Attempt|Persuasion Attempt
qstr_Un_Aventurier_d_un_a|An old adventurer offered to sell me a story! As incredible as it may seem you accepted his offer. You have to find a map of the secret temples of the order of the Templars to find their treasure. The old adventurer told you that the order of the Freemasons is in search for the gold as well. You'd better be fast. The next clue requires finding the secret manuscript of beliefs and rites of the Templars, hidden in a secret lodge of Benedictine abbey of Micy near Orleans.
qstr_Un_Aventurier_d_un_ag|An old adventurer offered to sell me a story! As incredible as it may seem you accepted his offer. You have to find a map of the secret temples of the order of the Templars to find their treasure. The old adventurer told you that the order of the Freemasons is in search for the gold as well. You'd better be fast. The next clue requires finding the secret manuscript of beliefs and rites of the Templars, hidden in a secret lodge of Benedictine abbey of Micy near Orleans.
qstr_Le_moine_scribe_de_l|The monk scribe at the library of Orleans helped you to get further on trail of the Templars. You have to investigate a character painted on a wall fresco in the monastery of Orleans. It seems that the painted coat of arms is an old one from Occitania. Ask more from the village elders between Toulouse and Montpellier.
qstr_A_villager_from_{s7}|A villager from {s7} begged you to save their village from the bandits that took refuge there.
qstr_You_chose_well_{sir|You chose well, {sir/madam}. My lads know how to keep their word and earn their pay.
qstr_Well_done_{sir/mada|Well done, {sir/madam}. Keep the money and wine coming our way, and there's no foe in France you need fear.
qstr_We_are_at_your_servi|We are at your service, {sir/madam}. Point us in the direction of those who need hurting, and we'll do the rest.
qstr_town|town
qstr_village|village
qstr_The_Guildmaster_of_{|The Guild Master of {s13} has asked you to deal with looters in the surrounding countryside.
qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the tavern in {s4} in 7 days.
qstr_Escort_the_merchant_|Escort the merchant caravan to the town of {s8}.
qstr_Merchant_{s9}_of_{s4|Merchant {s9} of {s4} asked you to hunt down the troublesome bandits in the vicinity of the town.
qstr_Guildmaster_of_{s4}_|The Guild Master of {s4} gave you {reg12} denars to pay the ransom of a girl kidnapped by bandits. You are to meet the bandits near {s3} and pay them the ransom fee. After that you are to bring the girl back to {s4}.
qstr_Guildmaster_of_{s4}_p|The Guild Master of {s4} promised you {reg12} denars if you can make sure that {s12} and {s13} no longer pose a threat to a peace settlement between {s15} and {s14}. In order to do that, you must either convince them or make sure they fall captive and remain so until a peace agreement is made.
qstr_The_Guildmaster_of_{s|The Guild Master of {s14} has asked you to deal with a group of bandits terrorising the streets of {s14}. They only come out at night, and only attack lone travellers on the streets.
qstr_Guildmaster_of_{s10}|The Guild Master of {s10} asked you to move a cattle herd to {s13}. You will earn {reg8} denars in return.
qstr_L_ancien_du_village_|The elder of the village of {s9} asked you to patrol the forest of {s9} for poachers as hunting is prohibited for peasants.
qstr_Le_patron_de_l_auber|The owner of an inn near Rouen asked you to rescue an important customer lost in the forest. He'll freeze to death if you do not find him quickly. The landlord also told you about handsome reward.
qstr_Un_ivrogne_dans_une_|A drunk in a tavern told me he had lost his horse in the meadows of Bourges. Maybe the mount wasn't very valuable, but I should go and see. It might still be there.
qstr_Vous_avez_terminé_v|You have completed your guard duty.
qstr_He_is_not_commanding|He is not commanding any men at the moment.
qstr_He_currently_command|He currently commands {reg0} men{reg1?, of which around {reg1} are wounded:}.
qstr_The_elder_of_the_vil|The elder of the village of {s3} asked you to bring them {reg5} packs of grain.
qstr_The_elder_of_the_vill|The elder of the village of {s13} asked you to train {reg5} peasants to fight against local bandits.
qstr_The_elder_of_the_villa|The elder of the village of {s3} asked you to bring them {reg5} heads of cattle.
qstr_{s16}_and_{s15}|{s16} and {s15}
qstr_I_can_smell_a_fat_pu|I can smell a fat purse a mile away. Methinks yours could do with some lightening, eh?
qstr_Why_it_be_another_t|Why, it be another traveller, chance met upon the road! I should warn you, country here's a mite dangerous for a good {fellow/woman} like you. But for a small donation my boys and I'll make sure you get rightways to your destination, eh?
qstr_Well_well_look_at_t|Well well, look at this! You'd best start coughing up some silver, friend, or me and my boys'll have to break you.
qstr_There_s_a_toll_for_p|There's a toll for passin' through this land, payable to us, so if you don't mind we'll just be collectin' our due from your purse...
qstr_Another_fool_come_to|Another fool come to throw {him/her}self on my weapon, eh? Fine, let's fight!
qstr_We_re_not_afraid_of_|We're not afraid of you, {sirrah/wench}. Time to bust some heads!
qstr_That_was_a_mistake._|That was a mistake. Now I'm going to have to make your death long and painful.
qstr_Brave_words._Let_s_s|Brave words. Let's see you back them up with deeds, cur!
qstr_A_{s5}?_Well..._Yes|A {s5}? Well... Yes, I suppose it is. What a strange thing to ask.
qstr_Eh?_No_it_most_cert|Eh? No, it most certainly is not a {s5}. I'd start questioning my eyesight if I were you.
qstr_This_is_the_{reg4?to|This is the {reg4?town:village} of {s5}, {sir/madam}.
qstr_{s6}_Our_{reg4?town:|{s6} Our {reg4?town:village} and the surrounding lands belong to you of course, my {lord/lady}.
qstr_{s6}_Our_{reg4?town:v|{s6} Our {reg4?town:village} and the surrounding lands belong to {s7} of {s8}.
qstr_{s3}_and_{s5}|{s3} and {s5}
qstr_{reg20?We_mostly_pro|{reg20?We mostly produce {s5} here:We don't produce much here these days}. If you would like to learn more, you can speak with our {reg4?guildmaster:village elder}. He is nearby, right over there.
qstr_You_got_keys_of_dung|You got keys of dungeon.
qstr_Vous_etes_hors_de_co|You are knocked out, watch your men continue the fight without you or press tab to retreat.
qstr_Pour_regarder_le_com|To watch the fight press 'w, a, s, d, numpad +/numpad -' to advance 'numpad 1,2,3,4,6,8' to orient the camera.
qstr_Division_Placement|Division Placement
qstr_Complex_Formations|Complex Formations
qstr_Formations_turned_OF|Formations turned OFF in options menu
qstr_Division_{reg1}_{s2}|Division {reg1} {s2} goes to its memorized position...
qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} forms line (memorized).
qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms {reg0} lines (memorized).
qstr_You_must_stay_behind|You must stay behind the line on the ground! Point is not counted.
qstr_Tutorial|Tutorial
qstr_Vous_etes_hors_de_com|You are knocked out, watch your men continue the fight without you or press tab to retreat.
qstr_Pour_regarder_le_comb|To watch the fight, press 'w, a, s, d, numpad +/numpad -' to advance, 'numpad 1,2,3,4,6,8' to orient the camera.
qstr_Retournez_voire_l_in|Return to the instructor.
qstr_Vous_avez_gagné_re|You won, collect your winnings.
qstr_Passez_par_la_limite|Go through the edge of the woods.
qstr_FUYEZ_!!!|RUN AWAY !!!
qstr_La_cible_es_morte_!|The target is dead!
qstr_Passez_par_les_porte|Go through the doors!
qstr_Vous_avez_términé_|You have completed the patrol.
qstr_Cette_fresque_semble|This fresco seems strange in such a place.
qstr_Quelqu_un_as_fait_du|Someone made a fire recently.
qstr_Aucun_jouteur_ne_s_e|Neither competitor stood out, restart the joust.
qstr_Vous_avez_blessé_le|You hurt the competitor's horse - disqualification.
qstr_Vous_avez_perdu_cett|You lost the joust.
qstr_Vous_avez_remporté_|You won the joust!
qstr_Aucun_jouteur_ne_s_es|No competitor stood out.
qstr_La_porte_est_fermée|The door is locked.
qstr_Vous_ne_pouvez_pas_p|You can't leave.
qstr_Vous_avez_récupper�|You recovered a key.
qstr_Vous_devez_trouver_u|You need to find a door.
qstr_Vous_devez_trouver_un|You must find a way quickly!
qstr_Inutile_de_retourner|No need to go back there.
qstr_Vous_devez_repasser_|You must go through the secret passage to the castle.
qstr_{s1}_of_{s3}_was_def|{s1} of {s3} was defeated in battle but managed to escape.
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_nowhere|nowhere
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_noone|no-one
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treament|wound treatment
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Accompany|Accompany
qstr_killed|killed
qstr_wounded|wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_None|None
qstr_^None|^None
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Under_Siege_|(Under Siege)
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Small_bands_of_enemi|Small bands of enemies spotted near {s1}.
qstr_Enemy_patrols_spotte|Enemy patrols spotted near {s1}.
qstr_Medium_sized_group_o|Medium-sized group of enemies spotted near {s1}.
qstr_Significant_group_of|Significant group of enemies spotted near {s1}.
qstr_Army_of_enemies_spot|Army of enemies spotted near {s1}.
qstr_Large_army_of_enemie|Large army of enemies spotted near {s1}.
qstr_Great_host_of_enemie|Great host of enemies spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of {s2}.
qstr_You_gained_{reg12}_r|You gained {reg12} renown.
qstr_You_lose_{reg12}_ren|You lose {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_gain_honour.|You gain honour.
qstr_You_lose_honour.|You lose honour.
qstr_{s1}_has_declared_wa|{s1} has declared war against {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_You_now_owe_{reg2}_d|You now owe {reg2} denars to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
