qstr_Next_Page|Page suivante
qstr_{s7}_and_{s8}|{s7} et {s8}
qstr_{s2}It_has_no_villag|{s2} n'a pas de village.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Ses fiefs sont:Son fief est} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sa Prospérité est : {s50}
qstr_noone|Personne
qstr_{s9}_and_{s10}|{s9} et {s10}
qstr_{s5}_has_been_defeat|Le {s5} a été vaincu !
qstr_{s7}_opened_the_gate|{s7} a ouvert les portes
qstr_{s7}_closed_the_gate|{s7} a fermé les portes
qstr_+{reg1}_to_party_mor|+{reg1} au moral du groupe
qstr_Requires_{reg1}_inte|Comprendre ce livre nécessite {reg1} en intelligence
qstr_Reading_Progress:_{r|Progression de la lecture {reg1}%
qstr_wound_treament|Guérison
qstr_trainer|Mentor
qstr_surgery|Chirurgie
qstr_+1_to_{s1}_while_in_|+1 à la compétence {s1} si dans l'inventaire
qstr_Move_here|Aller ici
qstr_View_notes|Voir les notes
qstr_Accompany|Accompagner
qstr_killed|morts
qstr_wounded|avec blessures
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL : {reg3}^{s2}
qstr_^None|^Aucune
qstr_nothing|Rien
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} château{reg1?x:}
qstr_{reg0}_castle{reg1?s:|{reg0} château{reg1?x:} et {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} ville{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} ville{reg1?s:} et {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} ville{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Vos adversaires sont prêts à se battre.
qstr_Try_to_destroy_as_ma|Essayez de détruire autant de cibles que possible. Vous avez deux minutes et demie pour finir.
qstr_Stay_behind_the_line|Restez derrière la ligne au sol et visez les cibles. Essayez de ne pas rater de tir.
qstr_Battle_Advantage_=_{|Avantage tactique = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} veut que vous suiviez son armée jusqu'à nouvel ordre.
qstr__Being_Raided_|(En train d'être pillé)
qstr__Looted_|(Pillé)
qstr__Under_Siege_|(Assiégé)
qstr_The_village_of_{s1}_|{s1} a été pillé par les {s2}.
qstr_{s3}_is_no_longer_un|Le siège de {s3} a été levé.
qstr_Small_bands_of_enemi|Petit groupe d'ennemis repéré près de {s1}.
qstr_Enemy_patrols_spotte|Patrouille ennemie repérée près de {s1}.
qstr_Medium_sized_group_o|Groupe moyen d'ennemis repéré près de {s1}.
qstr_Significant_group_of|Important groupe d'ennemis repéré près de {s1}.
qstr_Army_of_enemies_spot|Armée ennemie repérée près de {s1}.
qstr_Large_army_of_enemie|Grande armée ennemie repérée près de {s1}.
qstr_Great_host_of_enemie|Gigantesque armée ennemie repérée près de {s1}.
qstr_{s1}_has_been_besieg|{s1} est assiégée par le {s2} du {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11} : {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} est le nouveau maréchal du {s2}.
qstr_You_gained_{reg12}_r|Votre renommée augmente de {reg12}.
qstr_You_lose_{reg12}_ren|Votre renommée baisse de {reg12}.
qstr_Your_relation_with_{|Vos relations avec {s1} se sont améliorées.
qstr_Your_relation_with_{s|Vos relations avec {s1} se sont détériorées.
qstr_You_gain_honour.|Vous gagnez en honneur.
qstr_You_lose_honour.|Vous perdez en honneur.
qstr_{s1}_has_declared_wa|Le {s1} a déclaré la guerre au {s2}.
qstr_{s1}_and_{s2}_have_m|Le {s1} et le {s2} ont signé un traité de paix.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?était:est en ce moment} à {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?était:est} en route pour {s3} et {reg4?elle:il} {reg3?était:devrait être} près de {s4}{reg3?: en ce moment}. 
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?était:est} parti guerroyer et {reg4?elle:il} {reg3?était:devrait être} près de {s3}{reg3?: en ce moment}. 
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?était:est} prisonnier à {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?était:est} aux mains de ses ennemis.
qstr_{reg3?{s2}_s_locatio|{reg3?L'endroit où {s2} se trouvait était inconnu: Je ne sais pas où est {s2}}.
qstr_{s6}_has_joined_your|{s6} a rejoint votre groupe.
qstr_You_now_owe_{reg2}_d|Vous devez maintenant {reg2} écus à {s1}.
qstr_Renown_value_for_thi|La victoire augmente votre renommée de {reg8}.
qstr_You_have_run_into_a_|Vous êtes tombé dans une embuscade !
qstr_You_are_attacked_by_|Vous êtes assailli par un groupe de bandits !
qstr_Holding|Tenir la position
qstr_Following|Suivre
qstr_Charging|Charger
qstr_Advancing|Avancer
qstr_Falling_Back|Reculer
qstr_Standing_Closer|Resserrer les rangs
qstr_Spreading_Out|Disperser les rangs
qstr_Standing|Rester en position
qstr_N/A|N/A
qstr_Free|Libre
qstr_Any_Weapon|Toute arme
qstr_Blunt_Weapons|Armes contondantes
qstr_{s1}_Rebels|{s1} Rebelle
qstr_Given_by:_{s62}|Donnée par : {s62}
qstr_Given_on:_{s60}|Donnée le : {s60}
qstr_You_have_{reg0}_days|Vous avez {reg0} jours pour finir cette quête.
qstr_This_quest_has_been_|Cette quête est un succès, aller voir {s59} pour la valider.
qstr_This_quest_has_been_s|Cette quête est un succès, aller voir {s59} pour obtenir votre récompense.
qstr_This_quest_has_faile|Cette quête est un échec, aller voir {s59} pour lui expliquer la situation.
qstr_At_the_time_quest_wa|Au moment où la quête a été donnée :^{s1}
qstr_{s5}_has_a_strength_|Le {s5} dispose de {reg1} hommes.
qstr_The_last_time_you_sa|La dernière fois que vous l'avez {reg1?vue:vu}, {s1}
qstr_The_last_time_you_he|La dernière fois que vous avez entendu parler {reg1?d'elle:de lui}, {s1}
qstr_Current_garrison_con|La garnison actuelle est constituée de {reg5} hommes.^Il y a de la nourriture pour {reg6} jours.
qstr_Very_Poor|Très pauvre
qstr_Poor|Pauvre
qstr_Average|Moyenne
qstr_Rich|Riche
qstr_Very_Rich|Très Riche
qstr_Manor|Manoir
qstr_A_manor_lets_you_res|Un manoir vous permet de vous reposer dans le village et de réduire de moitié la solde de vos troupes tant que vous y serez.
qstr_Mill|Moulin
qstr_A_mill_increases_vil|Un moulin permet aux villageois de travailler plus efficacement et augmente la prospérité du village de 5%.
qstr_Watch_Tower|Tour de guet
qstr_A_watch_tower_lets_t|Une tour de guet permet aux villageois d'être avertis plus tôt en cas d'attaque. Le temps requis aux ennemis pour piller le village est augmenté de 50%.
qstr_School|École
qstr_A_shool_increases_th|Une école accroît votre popularité, et donc la loyauté des villageois envers vous de 1 point par mois.
qstr_Messenger_Post|Poste de messager
qstr_A_messenger_post_let|Un poste de messager permet aux habitants de vous envoyer un message quand des ennemis sont à proximité, même si vous êtes très loin d'ici.
qstr_Prison_Tower|Tour de prison
qstr_A_prison_tower_reduc|Une tour de prison permet de mieux surveiller les prisonniers et réduit les chances d'évasions.
qstr_Prosperity_of_{s2}_h|La prospérité de {s2} est passée de {s3} à {s4}.
qstr_{s4}_looks_upset.|{s4} semble mécontent.
qstr_your_party|votre groupe
qstr_{reg0?One_of_your_pr|{reg0?Un de vos prisonniers, :}{s1} du {s3} a réussi à s'échapper !
qstr_You_brought_{reg3}_h|Vous avez mené {reg3} têtes de bétail à {s1}.
qstr_I_heard_that_there_w|J'ai entendu dire qu'un tournoi se prépare à {s62}.
qstr_I_heard_that_one_can|J'ai entendu dire qu'à {s63}, il est possible d'acheter des articles pour un très bon prix. {s62}.
qstr_I_heard_that_they_pa|J'ai entendu dire qu'à {s63}, on paie fort bien certains articles. {s62}.
qstr_two_days_ago|il y a deux jours
qstr_Best_threat_of_{s4}_|La meilleure menace de {s4} à une valeur de {reg1}
qstr_No_center_found_to_d|Rien à défendre
qstr_You_gain_right_to_ru|Vous gagnez en droit de régner.
qstr_You_lose_right_to_ru|Vous perdez en droit de régner.
qstr_Vous_gagnez_1_point_|Vous gagnez 1 point en équitation.
qstr_Vous_etes_retablis.|Vous êtes rétabli.
qstr_You_got_keys_of_dung|Vous obtenez les clés du donjon.
qstr_Vous_etes_hors_de_co|Vous êtes hors de combat, regardez vos hommes se battre sans vous, ou pressez TAB pour ordonner la retraite.
qstr_Pour_regarder_le_com|Pour regarder le combat et bouger, pressez W, A, S, D, numpad +/numpad -, pour utiliser la camera pressez Numpad 1,2,3,4,6,8.
qstr_You_have_been_knocke|Vous êtes hors de combat. Regardez vos hommes continuer la bataille sans vous ou pressez Tab pour battre en retraite.
qstr_To_watch_the_fight_y|Pour regarder le combat et bouger, vous pouvez utiliser les touches Z, Q, S, D, numpad +/numpad -, pour utiliser la camera pressez Numpad 1,2,3,4,6,8.
qstr_You_must_stay_behind|Vous devez rester derrière la ligne, le point ne compte pas.
qstr_Tutorial|Tutoriel
qstr_Vous_etes_hors_de_com|Vous êtes hors de combat, regardez vos hommes se battre sans vous, ou pressez TAB pour ordonner la retraite.
qstr_Pour_regarder_le_comb|Pour regarder le combat, pressez 'W, A, S, D, numpad +/numpad -' pour avancer, et 'numpad 1,2,3,4,6,8' pour orienter la camera.
qstr_You_came_into_the_wo|Vous êtes {reg3?la fille:le fils} d'une famille noble sur le déclin, ne possédant plus que la maison dans laquelle ils vécurent. Cependant, malgré les épreuves, vous avez toujours reçu une bonne éducation et votre famille vous a {reg3?préparée:préparé} depuis votre enfance aux rigueurs de l'aristocratie et de la vie à la cour.
qstr_You_were_born_the_{r|Vous êtes {reg3?la fille:le fils} de marchands itinérants, parcourant le monde à la recherche du moindre profit. Bien que vos parents étaient plutôt aisés et vous éduquèrent de leur mieux, les opportunités de vous faire des {reg3?amies:amis} furent rares. Vous passiez le plus clair de votre temps à chercher à vendre n'importe quoi à n'importe qui.
qstr_As_a_child_your_fami|Quand vous étiez enfant, votre famille survivait grâce à la maigre solde que touchait votre père comme garde d'un seigneur local. Ce n'était pas une existence facile et vous étiez trop pauvre pour recevoir une instruction décente. Vous avez principalement appris à vous défendre vous-même dans les rues, avec ou sans arme.
qstr_{reg3?daughter:son}|{reg3?fille:fils}
qstr_You_were_the_{reg3?d|Vous étiez {reg3?la fille:le fils} d'une famille vivant dans les bois, faisant ce qu'il fallait pour joindre les deux bouts : chasser, couper le bois, fabriquer des arcs et même un peu de braconnage quand les temps devenaient durs. L'hiver n'était pas la meilleure période pour votre famille, le froid faisait mourir aussi bien les animaux que les gens. Mais vous avez survécu, tandis que vos frères et soeurs n'ont pas tous eu votre chance.
qstr_You_were_a_child_of_|Vous êtes enfant des steppes, {reg3?née:né} dans une tribu de nomades habitant d'immenses campements dans les plaines arides, au gré de leurs errances. Comme les autres membres de la tribu, votre famille attachait une importance capitale aux chevaux et vous avez appris à les monter avant de savoir marcher.
qstr_As_the_{reg3?daughte|En tant que {reg3?fille:fils} d'un voleur, l'éducation qui vous a été prodiguée ne fut pas vraiment "scolaire". Vous avez plutôt passé votre temps dans les rues, d'abord mendiant et quémandant, puis vivant de menus larcins, apprenant à soulager les bourses des riches bourgeois et à crocheter les serrures. Voilà qui résume assez bien toute votre enfance. Ces longues années vous ont néanmoins rendu {reg3?dégourdie:dégourdi} et à l'affût des secrets enfouis dans les villes et les arrière-cours.
qstr_As_a_{reg3?girl:boy}|{reg3?Adolescente:Adolescent}, on vous envoya vivre à la cour d'un noble de la région. Là-bas vos premières leçons de vie vous enseignèrent l'humilité, en servant les seigneurs et les dames du domaine. Mais par le biais de leurs parties d'échec, leurs commérages et même le récit de leurs exploits et de leurs amours courtois, vous avez rapidement commencé à comprendre le monde des adultes, fait de conflits et de compétitions. Vous avez également découvert la brutalité des jeux auxquels s'adonnaient les autres enfants, consistant à se battre avec des bâtons à l'image des épées de leurs ainés.
qstr_As_a_{reg3?girl:boy}_|{reg3?Adolescente:Adolescent}, vous êtes {reg3?devenue l'apprentie:devenu l'apprenti} d'un artisan local. Après plusieurs années de dur labeur et d'étude auprès de votre nouveau maître, il vous a {reg3?promue:promu} compagnon et vous a {reg3?embauchée:embauché} comme artisan à plein temps pour aussi longtemps qu'il vous plaira.
qstr_As_a_{reg3?girl:boy}_g|{reg3?Adolescente:Adolescent}, vous êtes {reg3?devenue l'apprentie:devenu l'apprenti} d'un riche marchand, apprenant le métier au fil des ans, de boutiques en caravanes ambulantes. Vous avez rapidement maîtrisé l'art d'acheter à bas prix pour revendre au prix fort, tout en laissant croire à vos clients qu'ils avaient fait une bonne affaire.
qstr_As_a_{reg3?girl:boy}_gr|{reg3?Adolescente:Adolescent} vous trainiez dans la rue, tout était bon pour survivre. Mendiant, volant, accomplissant de basses besognes pour les bandits du coin, vous viviez au jour le jour dans ce monde violent, toujours un peu au dessus des lois et échappant de peu à vos ennemis.
qstr_As_a_{reg3?girl:boy}_gro|{reg3?Adolescente:Adolescent}, vous chevauchiez dans les immenses plaines sur votre propre cheval, apprenant à dompter ces étendues sauvages et désertiques. Quoiqu'ayant parfois été en proie à la faim, vous êtes {reg3?devenue:devenu} particulièrement habile à la chasse et {reg3?douée:doué} pour retrouver votre chemin dans ces contrées sans repères. Votre musculature commença à se développer et votre corps à s'endurcir alors que vous entriez peu à peu dans la vie de nomade.
qstr_{reg3?daughter:man}|{reg3?fille:homme}
qstr_Though_the_distincti|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {reg3?une femme:un homme}, le monde environnant vous sembla alors différent. Lorsque l'on vous a nommé écuyer d'un noble à la cour, vous vous êtes {reg3?entraînée:entraîné} de longues heures durant au maniement des armes, apprenant aussi bien à distribuer qu'à recevoir des coups. On vous enseigna le respect pour votre seigneur ainsi que vos devoirs envers ceux qui pourraient être un jour vos vassaux. On vous inculqua les idéaux de la chevalerie, mais aussi les aspects les moins reluisants (Les vieilles histoires guerrières contant les rapports de force de l'impitoyable politique, les traîtrises et les usurpations des hommes faisant usage autant de la fourberie que de la vaillance pour arriver à leurs fins).
qstr_{reg3?woman:man}|{reg3?une femme:un homme}
qstr_Though_the_distinctio|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous avez rejoint le cercle très fermé des femmes de la cour, des dames qui ne s'autorisaient aucun écart de féminité, les épouses et les maîtresses de nobles de même que les demoiselles qui cherchaient à se marier. Cependant, même ici il était question de politique, les dames de la cour complotant pour leurs intérêts et se disputant âprement les égards des hommes célibataires en vue à la cour. Vous avez très vite appris à tourner ces situations et ces manigances à votre avantage. C'est à ce moment-là que vous avez pris conscience que vous pouviez exercer une grande influence sur le monde, si seulement vous vous appliquiez à être un tant soit peu subtile.
qstr_Though_the_distinction|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous vous lancez dans l'aventure, votre instrument sanglé dans votre dos et votre voix pour seules possessions. Vous meniez une existence miséreuse et n'aviez pas de quoi vous nourrir tous les soirs, surtout quand votre public n'appréciait pas votre façon de jouer. Vous avez tout de même réussi à survivre par votre seule musique. Au fil des ans vous avez pris l'habitude de divertir les foules enivrées dans les tavernes, et êtes désormais capable de délier pour ainsi dire toutes les langues lorsque vous le voulez.
qstr_Though_the_distinction_|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {reg3?une femme:un homme}, le monde environnant vous sembla alors différent. Vous étiez devenu {reg3?étudiante:étudiant} dans une université d'une grande ville, apprenant la théologie, la philosophie et la médecine. Mais vous n'avez pas seulement appris à la bibliothèque. Vous suiviez parfois vos camarades dans leurs quêtes d'ivresse, de femmes et de bonnes bagarres. C'est ainsi que vous avez fini par être tout autant capable d'observer comment est placée une mâchoire brisée que de persuader un citadin en colère de baisser son arme et d'accepter une compensation financière en échange du saccage de sa boutique.
qstr_Though_the_distinction_f|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. L'appel de l'aventure fut le plus fort et vous avez commencé à voyager de village en village, achetant et vendant tout ce que vous trouviez. Vous ne meniez pas une existence particulièrement prospère mais vous étiez passé maître dans l'art d'escroquer même les plus indécrottables avares. Vous vous sentiez de plus en plus capable de vous lancer dans la grande aventure du commerce et même de monter votre propre empire.
qstr_Though_the_distinction_fe|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Vous poursuiviez votre carrière de forgeron, transformant avec habileté le moindre morceau de métal en des objets aussi beaux qu'utiles. Petit à petit vous êtes {reg3?devenue:devenu} maître dans votre domaine et votre travail de qualité vous permit de vendre votre production aux meilleurs prix. La panse bien remplie, vous pouviez le soir chez vous au coin d'un bon feu de cheminée être fier de votre travail et de votre réputation grandissante.
qstr_Though_the_distinction_fel|Sans que vous y prêtiez particulièrement attention, la vie avait fait de vous {s13}, le monde environnant vous sembla alors différent. Le monde qui vous entourait vous paraissait complètement différent. La lutte désespérée des gens ordinaires pour leur subsistance ne vous contentait guère, c'est pourquoi vous avez investi les forêts du seigneur de la région, profitant de ses ressources abondantes sans vraiment vous soucier des lois en vigueur. Vous chassiez les cerfs, les sangliers et les oies pour revendre leur précieuse chair. Vous abattiez des arbres au nez et à la barbe des guetteurs pour les transformer en bois de chauffage et ainsi permettre à de nombreux foyers en proie aux froideurs hivernales de se chauffer. Tout cela en échange d'un peu d'argent, bien sûr.
qstr_Only_you_know_exactl|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Cela dit, quitter tout ce que vous aviez ne fut pas un choix difficile, vu la colère qui brûle en vous. Vous voulez la vengeance. Vous voulez la justice. Certaines blessures ne peuvent guérir qu'en faisant couler le sang.
qstr_Only_you_know_exactly|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Tout ce que vous savez, c'est que vous ne supportiez plus de rester en ces lieux de rester dans ces lieux hantés par les souvenirs d'êtres tant aimés et tant regrettés. Peut-être votre nouvelle vie vous permettra-t-elle d'oublier, ou d'honorer, le nom que vous ne pouvez même plus prononcer...
qstr_Only_you_know_exactly_|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Vous ne vous souvenez plus trop bien à partir de quel moment votre maison est devenue trop petite pour vous, ni quand votre quotidien vous a semblé insupportable. Votre soif de découverte fut la plus forte. En quête de grands espaces, de nouvelles découvertes, de nouveaux horizons, vous ne pouviez plus rester en place. Vous partîtes sans même un regard derrière vous...
qstr_Only_you_know_exactly_w|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Cependant, vous savez que vous ne pouvez pas faire marche arrière. Il n'existe pas d'endroit où vous puissiez revenir. Votre vie d'antan n'est plus. Désormais, vous devrez affronter par vous-même le monde dans son immensité, solitaire dans l'échec comme dans la gloire...
qstr_Only_you_know_exactly_wh|Il n'y a que vous qui sachiez pourquoi vous avez abandonné votre ancienne vie et êtes {reg3?devenue une aventurière:devenu un aventurier}. Mais aux yeux de tous, seul compte pour vous l'appât du gain. Vous voulez tout, la richesse, le pouvoir et les honneurs. Vous voulez que l'on s'empresse de vous obéir, que l'on connaisse votre nom et que l'on tremble rien qu'en le prononçant. Vous voulez tout, et rien ne vous arrêtera...
qstr_Back_to_the_beginnin|Retour au début...
qstr_View_next_segment...|Suivant...
qstr_^No_food:___{reg7}|^Pas de nourriture : -{reg7}
qstr_^Wage_debt:___{reg6}|^Solde non versée : -{reg6}
qstr_Appoint_next_marshal|Nommer le prochain maréchal
qstr_Award_{s12}_as_fief|Attribuer {s12} comme fief
qstr_No_one|Aucun
qstr_Selected_faction_is:|La faction sélectionnée est : {s10}^^{s9}
qstr_You_are_currently_re|Vous lisez actuellement {s8}.
qstr_You_are_not_reading_|Actuellement vous ne lisez aucun livre.
qstr_none|Aucun
qstr_{s5}_and_{s6}|{s5} et {s6}
qstr_Your_estates_are:_{s|Vos fiefs sont : {s8}.^{s9}
qstr_Current_party_size_l|L'effectif maximal du groupe est actuellement de {reg5}.^Les facteurs influant sur l'effectif maximum du groupe sont:^^Effectif de base : +30^Commandement : {s2}{reg1}^Charisme : {s3}{reg2}^Renommée : {s4}{reg3}^TOTAL : {reg5}
qstr_Loyal|Idéales
qstr_Devoted|Exceptionnelles
qstr_Fond|Excellentes
qstr_Gracious|Très bonnes
qstr_Friendly|Amicales
qstr_Supportive|Cordiales
qstr_Favorable|Favorables
qstr_Cooperative|Coopératives
qstr_Accepting|Tolérantes
qstr_Indifferent|Neutres
qstr_Suspicious|Mitigées
qstr_Grumbling|Tendues
qstr_Hostile|Hostiles
qstr_Resentful|Pleines de rancoeur
qstr_Angry|Agressives
qstr_Hateful|Haineuses
qstr_Revengeful|Exécrables
qstr_Vengeful|Atroces
qstr_Your_relation_with_t|Vos relations avec les factions sont :^{s2}
qstr_Player_renown_is_inc|La renommée du joueur est augmentée de 100. 
qstr_Player_honor_is_incr|L'honneur du joueur a augmenté de 1 point et est maintenant de {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?acceptent:accepte} votre offre.
qstr_No_one_accepts_the_o|Personne n'accepte votre offre...
qstr_You_start_reading_{s|Vous commencez à lire {s2}. Vous le gardez près de vous afin d'en lire quelques pages à chaque fois que vous en aurez l'occasion.
qstr_You_flip_through_the|Après avoir lu quelques pages du livre, vous vous apercevez que malgré vos efforts vous n'y comprenez pas grand chose, et une violente migraine met un terme à la lecture.
qstr_Villagers|Villageois
qstr_You_have_encountered|{s1}, l'affrontement est inévitable.
qstr_You_have_engaged_{s1|Vous attaquez {s1} tandis qu'ils pillent {s3}.
qstr_You_were_caught_by_{|Vous avez été {attaqué/attaquée} par {s1} tandis que vos forces pillaient {s3}.
qstr_You_were_victorious!|Vous êtes victorieux !
qstr_Battle_was_lost._You|Vous êtes {vaincu/vaincue}. Vos forces ont été écrasées.
qstr_Your_companions_carr|Vos compagnons vous traînent hors du champs de bataille.
qstr_You_have_defeated_th|Vous avez vaincu l'ennemi.
qstr_You_have_retreated_f|Vous avez rompu l'engagement.
qstr_^^Ally_Casualties:{s|^^Pertes alliées :{s0}
qstr_{s1}_of_{s3}_managed|{s1} du {s3} a réussi à s'enfuir.
qstr_Some_of_your_tendons|Vos bras vous font souffrir le martyre. Vous perdez 1 en force.
qstr_You_took_a_nasty_wou|Vous avez reçu une vilaine blessure qui vous fera boiter, même après sa guérison. Vous perdez 1 en agilité.
qstr_You_have_trouble_thi|Vous avez du mal à vous concentrer après la bataille, peut-être à cause d'un coup particulièrement violent à la tête, et de fréquents maux de tête vous gâchent l'existence. Vous perdez 1 en intelligence.
qstr_Perhaps_I_m_getting_|Peut-être que la chance m'abandonne.
qstr_Retirement_is_starti|La retraite semble s'imposer.
qstr_No_matter!_I_will_pe|Peu importe, je persévère !
qstr_What_did_I_do_to_des|Qu'ai-je fait pour mériter cela ?
qstr_I_suppose_it_ll_make|Je suppose que ça fera au moins une bonne histoire à raconter.
qstr_{s9}_wants_you_to_fo|{s9} souhaite que vous suiviez son armée jusqu'à nouvel ordre.
qstr_{s8}_of_{s9}|{s8} du {s9}
qstr__Your_own_banner_fli|Votre bannière flotte au-dessus de la porte du château.
qstr__You_see_the_banner_|Vous reconnaissez la bannière de {s7} au-dessus de la porte du château.
qstr__Your_own_banner_flie|Votre bannière flotte au-dessus des portes de la ville.
qstr__You_see_the_banner_o|Vous reconnaissez la bannière de {s7} au-dessus des portes de la ville.
qstr_The_{reg6?town_s:cas|Les réserves {reg6?de la ville:du château} devraient permettre de tenir encore {reg3} jours.
qstr_The_{reg6?town_s:cast|Les réserves {reg6?de la ville:du château} sont épuisées et les défenseurs meurent de faim.
qstr_You_re_preparing_to_|Vous vous préparez à attaquer les murailles, le travail sera fini dans {reg9} heures.
qstr_Your_forces_are_buil|Vos hommes construisent une tour de siège (Sa construction prendra encore {reg9} heures).
qstr_You_are_ready_to_att|Vous êtes prêt à attaquer les murailles si tel est votre souhait.
qstr_The_siege_tower_is_b|La tour de siège est terminée et prête à servir.
