1135
qstr_Breaking_camp... Breaking_camp...
qstr_Le_maitre_de_la_guilde_de Le_maitre_de_la_guilde_des_Messagers_veux_que_j'enmène_une_caisse_de_livres_au_marchand_de_Bordeau_au_quartier_Sainte_Catherine.
qstr_Le_maitre_de_la_guilde_des Le_maitre_de_la_guilde_des_Messagers_veux_que_j'enmène_une_caisse_de_marchandise_a_l'armurier_de_Paris.
qstr_Le_maitre_de_la_guilde_des_ Le_maitre_de_la_guilde_des_Messagers_veux_que_j'enmène_une_caisse_de_marchandise_a_l'armurier_d'Avignon.
qstr_Le_maitre_de_la_guilde_des_M Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_caisse_a_remettre_au_forgeron_de_Reims.
qstr_Vous_avez_recu_:_cru Vous_avez_recu_:_cruche_de_Cervoise
qstr_Objet_perdu_:_Potion Objet_perdu_:_Potion_pour_le_Maistre
qstr_Vous_avez_recu_:_Pot Vous_avez_recu_:_Potion_pour_le_Maistre
qstr_Vous_etes_pardonné_ Vous_etes_pardonné_de_vos_pechés_par_votre_faction_!
qstr_Je_doit_remboursser_ Je_doit_remboursser_la_Somme_de_3300_écus_avant_le_delai_imparti,_sans_quois_je_risque_de_gros_ennuis.
qstr_Je_doit_remboursser_l Je_doit_remboursser_la_Somme_de_6600_écus_avant_le_delai_imparti,_sans_quois_je_risque_de_gros_ennuis.
qstr_Je_doit_remboursser_la Je_doit_remboursser_la_Somme_de_9900_écus_avant_le_delai_imparti,_sans_quois_je_risque_de_gros_ennuis.
qstr_Je_doit_remboursser_la_ Je_doit_remboursser_la_Somme_de_15.400_écus_avant_le_delai_imparti,_sans_quois_je_risque_de_gros_ennuis.
qstr_{!}current_town_was_ {!}current_town_was_{reg1},_now_moved_to_{s7}
qstr_{playername}_when_w {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause._But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope._But_with_God's_help,_we_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}._There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those._And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr__We_will_of_course_n _We_will_of_course_need_to_wait_until_the_realm_is_no_longer_on_campaign.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party.
qstr_{s1}_Rebels {s1}_Rebels
qstr_Le_Duc_de_Bretagne_m Le_Duc_de_Bretagne_m'a_chargé_d'enqueter_sur_les_agissement_de_son_rival,_je_doit_comprendre_comment_les_troupes_irrégulière_d'Etienne_de_Penthièvre_arrivent_a_passer_le_cordon_qui_est_censsé_les_empécher_de_continuer_a_réduire_l'économie_et_le_pouvoir_du_Duc_de_Bretagne.
qstr_Le_Duc_de_Bretagne_m_ Le_Duc_de_Bretagne_m'a_chargé_d'enqueter_sur_les_agissement_de_son_rival_Etienne_de_Penthièvre,_je_doit_aller_voir_pour_l'instant_pourquois_la_mine_du_Duc_ne_produit_plus.
qstr_I_am_{s4}_the_ruler I_am_{s4},_the_ruler_of_{s6}
qstr_I_am_{s4}_a_vassal_ I_am_{s4},_a_vassal_of_{s6}
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s9}{reg5?_and_the_l {s9}{reg5?_and_the_lord_of_{s8}.:.
qstr_Jeanne_m_a_demandé_ Jeanne_m'a_demandé_de_retrouver_une_épée_spéciale_et_de_la_lui_ramener,_je_devrais_la_chercher_a_la_chapelle_de_Sainte_Catherine_de_Fierbois_au_sud_de_Tours.
qstr_La_porte_est_dévero La_porte_est_déverouillée.
qstr_Je_doit_aller_voir_l Je_doit_aller_voir_l'Echanson_du_Duc_qui_est_a_l'auberge_du_village_de_la_mine_dans_la_foret_de_Lorges_pour_en_apprendre_plus,_mais_l'entrée_de_l'auberge_est_défendue_par_un_garde,_il_me_demande_de_tuer_un_aventurier_qui_pose_des_questions_aux_mineurs_du_village,_et_le_garde_pense_qu'il_est_contre_eux._Il_di_qu'il_me_laissera_entrer_si_je_tue_l'aventurier.
qstr_L_Echanson_du_Duc_pe L'Echanson_du_Duc_pense_avoir_découvert_comment_les_troupes_de_De_Penthièvre_font_pour_sortir_du_cordon,_si_cela_s'avère_exact_j'aurais_remplis_ma_mission,_Je_touche_peut_etre_au_but.
qstr_Mon_expedition_est_p Mon_expedition_est_prete_a_descendre_dans_les_tunels_de_la_mine,_nous_devrons_tuer_tous_les_soldats_que_nous_croiserons_et_surtout_libérer_les_mineurs.
qstr_L_Echanson_du_Duc_m_ L'Echanson_du_Duc_m'as_revelé_que_les_mineurs_sont_prisoniers_des_troupes_de_De_penthièvre_au_fond_de_la_mine,_je_doit_rassembler_des_volontaires_pour_partir_a_la_recherche_des_survivants_dans_les_tunels_sérieusement_gardés_pour_les_libérer_et_faire_repartir_la_production_de_la_mine_pour_le_compte_du_Duc.
qstr_L_aubergiste_de_l_au L'aubergiste_de_l'auberge_du_village_de_la_mine_dans_la_foret_de_Lorges,_m'as_demandé_de_lever_le_blocus_de_la_porte_du_lac_pour_que_les_marchandises_puissent_parvenir_de_nouveau_au_village,_il_me_donnera_des_vivres_en_retour.
qstr_Un_chasseur_dans_l_a Un_chasseur_dans_l'auberge_de_la_foret_de_Lorges_m'as_demandé_de_retrouver_son_arbalète_perdue_dans_le_bois_des_cerfs,_il_me_faut_retrouver_ce_secteur_de_la_foret_et_l'arbalète_de_grande_valeure.
qstr_Le_Capitaine_de_la_c Le_Capitaine_de_la_compagnie_des_mercenaires_des_Cranes_de_Fer_de_Bretagne_m'envoie_tenir_le_siége_du_donjon_du_comte_de_Penthièvre_a_Quintin,_il_faut_empécher_que_les_troupes_du_Comte_puisse_sortire._J'ai_entendu_dire_qu'il_y_avais_une_somme_énorme_pour_qui_tuerais_le_Comte,_je_voudrais_voir_si_je_peut_l'approcher_lui_et_sa_famille_quite_a_désobeir_au_Capitaine_des_Cranes_de_Fer.
qstr_Le_Capitaine_de_la_co Le_Capitaine_de_la_compagnie_des_mercenaires_des_Cranes_de_Fer_de_Bretagne_m'as_donné_un_contrat_qui_consiste_a_surveiller_l'entrée_du_manoir_d'un_noble_Breton_a_Rennes_qui_as_recu_des_menaces_de_mort,_je_doit_etre_son_garde_du_corp_quelques_temps_dans_la_journée_pour_empécher_qu'il_soit_tué.
qstr_Le_Capitaine_de_la_com Le_Capitaine_de_la_compagnie_des_mercenaires_des_Cranes_de_Fer_de_Bretagne_m'as_donné_mon_premier_contrat,_intercepter_des_bandits_qui_ont_attaqués_une_caravane_et_tué_tous_les_marchands_et_leur_éscorte.
qstr_{s13}_asked_you_to_g {s13}_asked_you_to_gather_{reg3}_heads_of_cattle_and_deliver_them_back_to_him.
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s9}_asked_you_to_sc {s9}_asked_you_to_scout_{s13},_{s14}_and_{s15},_then_report_back.
qstr_{!}DEBUG_:_result_fo {!}DEBUG_:_result_for_political_is_{reg3}
qstr_you you
qstr_{!}DEBUG_:_result_for {!}DEBUG_:_result_for_new_liege_:_{reg31}
qstr_{!}DEBUG_:_result_for_ {!}DEBUG_:_result_for_old_liege_:_{reg32}
qstr_You_are_challenging_ You_are_challenging_me_to_a_duel?_How_droll!_As_you_wish,_{playername},_it_will_be_good_sport_to_bash_your_head_in.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{!}{s16}_{s17} {!}{s16},_{s17}
qstr_Very_well_I_will_ac Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us,_I_am_not_interested.
qstr_{!}DEBUG_:_Initiativ {!}DEBUG_:_Initiative_{reg4},_helpfulness_{reg5}
qstr_{!}DEBUG____ai_behav {!}DEBUG_--_ai_behavior:_{reg0},_ai_object:_{reg1}
qstr_Our_marshal_{s1} Our_marshal,_{s1}
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{!}{s11}_{s12} {!}{s11},_{s12}
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr_go_on_the_offensive_ go_on_the_offensive_now.
qstr_act_to_defend_our_la act_to_defend_our_lands.
qstr_take_more_time_to_ga take_more_time_to_gather_the_army.
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_{s14}.
qstr_What_do_you_say_to_e What_do_you_say_to_entering_the_service_of_{s9}_as_a_mercenary_captain?_I_have_no_doubt_that_you_would_be_up_to_the_task.
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_village_of_{s15}_and_then_report_back_to_him.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_collect_taxes_from_{s3}._He_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_at_{s3}.
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_merchant_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_lord_from_{s13},_any_lord,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_him_for_a_week.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_the_debt_of_{reg4}_denars_{s3}_owes_to_him._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_vassal_{s16}._You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_him_{reg1}_{s3}_as_prisoners.
qstr_Lend_your_experience Lend_your_experienced_surgeon_{s3}_to_{s1}.
qstr_{!}DEBUG____{reg4}_h {!}DEBUG_--_{reg4}_hours_since_last_feast_for_{s4}
qstr_Then_take_it_with_m Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{man/woman}._I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playern Forgive_me,_{playername},_but_I_must_insist_you_accept_it._The_money_means_little_to_me,_and_I_owe_you_so_much._Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a {playername},_what_a_dear_{man/woman}_you_are,_but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,_and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_{s11}_asked_you_to_r {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}_by_switching_clothes_and_taking_his_place_in_prison.
qstr_{s11}_asked_you_to_re {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}.
qstr_{s11}_asked_you_to_d {s11}_asked_you_to_deliver_a_message_to_{s13},_who_is_imprisoned_at_{s14}.
qstr_You_agreed_to_challe You_agreed_to_challenge_{s13}_to_defend_{s11}'s_honour.
qstr_{s5}__Persuasion_str {s5}_(Persuasion_strength:_{reg5})
qstr_Persuasion_Attempt Persuasion_Attempt
qstr_Un_Aventurier_d_un_a Un_Aventurier_d'un_age_avancé_m'as_vendu_une_histoire_aussi_incroyable_que_cela_puisse_paraitre_j'ai_accepté_son_offre,_je_doit_trouver_la_carte_des_temples_secrets_de_l'ordre_des_templiers_afin_de_retrouver_leurs_trésorts,_le_viel_aventurier_m'as_aussi_parlé_de_l'ordre_des_francs_macons_a_la_recherche_de_l'or_du_temple_également,_je_ferais_mieux_d'etre_prudent.Le_prochain_indice_indique_qu'il_faut_trouver_le_manuscrit_secret_des_croyances_et_rites_des_templiers_dissimulé_dans_une_logue_secrete_de_la_bibliothèque_du_monastere_de_Carmel_de_Micy_a_Orléans
qstr_Un_Aventurier_d_un_ag Un_Aventurier_d'un_age_avancé_m'as_vendu_une_histoire_!_aussi_incroyable_que_cela_puisse_paraitre_j'ai_accepté_son_offre,_je_doit_trouver_la_carte_des_temples_secrets_de_l'ordre_des_templiers_afin_de_retrouver_leurs_trésorts,_le_viel_aventurier_m'as_aussi_parlé_de_l'ordre_des_francs_macons_a_la_recherche_de_l'or_du_temple_également,_je_ferais_mieux_d'etre_prudent.Le_prochain_indice_indique_qu'il_faut_trouver_le_manuscrit_secret_des_croyances_et_rites_des_templiers_dissimulé_dans_une_logue_secrete_de_la__du_monastere_de_Carmel_de_Micy_a_Orléans
qstr_Le_moine_scribe_de_l Le_moine_scribe_de_la_bibliothèque_d'Orléans_m'as_remis_malgrés_lui_sur_la_piste_du_tréort_des_templiers._Je_doit_enqueter_sur_le_personnage_peint_sur_la_fresque_du_mur_dans_le_monastere_d'Orléans,_ils_semblerais_que_les_armoiries_peintes_correspondes_avec_celles_du_seigneur_de_Rennes_le_chateau_en_Provence.
qstr_{!}DEBUG:_Gossip_for {!}DEBUG:_Gossip_for_troop_{reg3}
qstr_{!}DEBUG:_{s3} {!}DEBUG:_{s3}
qstr_A_villager_from_{s7} A_villager_from_{s7}_begged_you_to_save_their_village_from_the_bandits_that_took_refuge_there.
qstr_You_chose_well_{sir You_chose_well,_{sir/madam}._My_lads_know_how_to_keep_their_word_and_earn_their_pay.
qstr_Well_done_{sir/mada Well_done,_{sir/madam}._Keep_the_money_and_wine_coming_our_way,_and_there's_no_foe_in_France_you_need_fear.
qstr_We_are_at_your_servi We_are_at_your_service,_{sir/madam}._Point_us_in_the_direction_of_those_who_need_hurting,_and_we'll_do_the_rest.
qstr_town town
qstr_village village
qstr_The_Guildmaster_of_{ The_Guildmaster_of_{s13}_has_asked_you_to_deal_with_looters_in_the_surrounding_countryside.
qstr_{s9}_of_{s3}_asked_y {s9}_of_{s3}_asked_you_to_deliver_{reg5}_units_of_{s6}_to_the_tavern_in_{s4}_in_7_days.
